post_id,account,days_since_last_post,days_since_first_post,post_number,posts_per_week,engagement_trend_7d,engagement_std_7d,posting_consistency,avg_gap_between_posts,is_after_pause,is_morning,is_afternoon,is_evening
3430527924121013876,faperta.unja.official,1.822800925925926,164.0181597222222,254,10.918931424075007,98.84615384615384,41.05858853282334,1.6484205751261796,0.6436323761757788,0,0,0,0
3430527924121013876,faperta.unja.official,1.822800925925926,164.0181597222222,254,10.918931424075007,98.84615384615384,41.05858853282334,1.6484205751261796,0.6436323761757788,0,0,0,0
3430527924121013876,faperta.unja.official,1.822800925925926,164.0181597222222,254,10.918931424075007,98.84615384615384,41.05858853282334,1.6484205751261796,0.6436323761757788,0,0,0,0
3430527924121013876,faperta.unja.official,1.822800925925926,164.0181597222222,254,10.918931424075007,98.84615384615384,41.05858853282334,1.6484205751261796,0.6436323761757788,0,0,0,0
3430719000765169676,faperta.unja.official,0.26363425925925926,164.28179398148148,259,11.010975876443222,86.94444444444444,39.748432780384334,1.635876821376999,0.6382029561175961,0,1,0,0
3430719000765169676,faperta.unja.official,0.26363425925925926,164.28179398148148,259,11.010975876443222,86.94444444444444,39.748432780384334,1.635876821376999,0.6382029561175961,0,1,0,0
3430719000765169676,faperta.unja.official,0.26363425925925926,164.28179398148148,259,11.010975876443222,86.94444444444444,39.748432780384334,1.635876821376999,0.6382029561175961,0,1,0,0
3432687263405489764,faperta.unja.official,2.71568287037037,166.99747685185184,262,11.121134945762444,97.23809523809524,44.83849324175018,1.6274956787367527,0.6318530537749288,0,0,0,0
3432687263405489764,faperta.unja.official,2.71568287037037,166.99747685185184,262,11.121134945762444,97.23809523809524,44.83849324175018,1.6274956787367527,0.6318530537749288,0,0,0,0
3432687263405489764,faperta.unja.official,2.71568287037037,166.99747685185184,262,11.121134945762444,97.23809523809524,44.83849324175018,1.6274956787367527,0.6318530537749288,0,0,0,0
3434131097414762025,faperta.unja.official,1.992199074074074,168.98967592592592,265,11.066035456568082,80.42857142857143,42.68978311513871,1.624199734335021,0.6349713948739614,0,0,0,0
3434132086607667804,faperta.unja.official,0.0013773148148148147,168.99105324074074,266,10.977001937166333,89.73333333333333,54.68933908472299,1.623259619089753,0.6401124088103255,0,0,0,0
