post_id,account,aesthetic_sharpness,aesthetic_noise,aesthetic_brightness,aesthetic_exposure_quality,aesthetic_color_harmony,aesthetic_saturation,aesthetic_saturation_variance,aesthetic_luminance_contrast
2878344156596336116,fst_unja,180.06437766342768,1480.96142978111,135.85110030864197,67.64302646614206,31.659706476585153,162.19321952160493,65.46487034405556,0.4979203393608341
2884136887738184059,fst_unja,145.36829271570647,1113.1677472312144,155.659737654321,48.672835250159814,33.9524508936329,158.19552469135803,53.95829829144586,0.3126873761380859
2884136887738184059,fst_unja,145.36829271570647,1113.1677472312144,155.659737654321,48.672835250159814,33.9524508936329,158.19552469135803,53.95829829144586,0.3126873761380859
2884136887738184059,fst_unja,145.36829271570647,1113.1677472312144,155.659737654321,48.672835250159814,33.9524508936329,158.19552469135803,53.95829829144586,0.3126873761380859
2884136887738184059,fst_unja,145.36829271570647,1113.1677472312144,155.659737654321,48.672835250159814,33.9524508936329,158.19552469135803,53.95829829144586,0.3126873761380859
2884136887738184059,fst_unja,145.36829271570647,1113.1677472312144,155.659737654321,48.672835250159814,33.9524508936329,158.19552469135803,53.95829829144586,0.3126873761380859
2886252758866641631,fst_unja,172.1907545451816,1340.8215670310872,131.5284340277778,50.00768309945182,22.039890755373012,191.3181064814815,52.731248982204356,0.3802043496441707
2886252758866641631,fst_unja,172.1907545451816,1340.8215670310872,131.5284340277778,50.00768309945182,22.039890755373012,191.3181064814815,52.731248982204356,0.3802043496441707
2886252758866641631,fst_unja,172.1907545451816,1340.8215670310872,131.5284340277778,50.00768309945182,22.039890755373012,191.3181064814815,52.731248982204356,0.3802043496441707
2886252758866641631,fst_unja,172.1907545451816,1340.8215670310872,131.5284340277778,50.00768309945182,22.039890755373012,191.3181064814815,52.731248982204356,0.3802043496441707
2886252758866641631,fst_unja,172.1907545451816,1340.8215670310872,131.5284340277778,50.00768309945182,22.039890755373012,191.3181064814815,52.731248982204356,0.3802043496441707
2886252758866641631,fst_unja,172.1907545451816,1340.8215670310872,131.5284340277778,50.00768309945182,22.039890755373012,191.3181064814815,52.731248982204356,0.3802043496441707
2886609407590582811,fst_unja,224.3324209209726,1112.9358968980796,198.8413051697531,64.37777209045434,50.85870282143944,74.57454320987654,84.54372776693499,0.3237645805620202
2886609407590582811,fst_unja,224.3324209209726,1112.9358968980796,198.8413051697531,64.37777209045434,50.85870282143944,74.57454320987654,84.54372776693499,0.3237645805620202
2886609407590582811,fst_unja,224.3324209209726,1112.9358968980796,198.8413051697531,64.37777209045434,50.85870282143944,74.57454320987654,84.54372776693499,0.3237645805620202
