post_id,account,emoji_count,unique_emoji_count,emoji_diversity,emoji_at_start,emoji_at_end,emoji_density,exclamation_count,question_count,all_caps_count,all_caps_ratio,multi_punct_count,cta_keyword_count,positive_word_count,negative_word_count,sentiment_polarity,sentiment_strength
2935689569371737281,fst_unja,0,0,0.0,0,0,0.0,0,0,1,0.011627906976744186,0,0,0,1,-1.0,1
2947056790417467761,fst_unja,0,0,0.0,0,0,0.0,1,1,1,0.038461538461538464,0,0,1,0,1.0,1
2952352013344220536,fst_unja,0,0,0.0,0,0,0.0,1,1,1,0.025,0,1,0,1,-1.0,1
2952352013344220536,fst_unja,0,0,0.0,0,0,0.0,1,1,1,0.025,0,1,0,1,-1.0,1
2952352013344220536,fst_unja,0,0,0.0,0,0,0.0,1,1,1,0.025,0,1,0,1,-1.0,1
2952352013344220536,fst_unja,0,0,0.0,0,0,0.0,1,1,1,0.025,0,1,0,1,-1.0,1
2952352013344220536,fst_unja,0,0,0.0,0,0,0.0,1,1,1,0.025,0,1,0,1,-1.0,1
2961630267548809717,fst_unja,0,0,0.0,0,0,0.0,2,0,1,0.019230769230769232,1,3,0,0,0.0,0
2961630267548809717,fst_unja,0,0,0.0,0,0,0.0,2,0,1,0.019230769230769232,1,3,0,0,0.0,0
2961630267548809717,fst_unja,0,0,0.0,0,0,0.0,2,0,1,0.019230769230769232,1,3,0,0,0.0,0
2961630267548809717,fst_unja,0,0,0.0,0,0,0.0,2,0,1,0.019230769230769232,1,3,0,0,0.0,0
2961630267548809717,fst_unja,0,0,0.0,0,0,0.0,2,0,1,0.019230769230769232,1,3,0,0,0.0,0
2966899262979905130,fst_unja,0,0,0.0,0,0,0.0,1,1,4,0.07272727272727272,0,2,0,0,0.0,0
2967393680027684757,fst_unja,0,0,0.0,0,0,0.0,1,1,2,0.03636363636363636,0,1,2,0,1.0,2
2967393680027684757,fst_unja,0,0,0.0,0,0,0.0,1,1,2,0.03636363636363636,0,1,2,0,1.0,2
2972505050251360366,fst_unja,0,0,0.0,0,0,0.0,4,0,3,0.04225352112676056,2,3,0,0,0.0,0
2972505050251360366,fst_unja,0,0,0.0,0,0,0.0,4,0,3,0.04225352112676056,2,3,0,0,0.0,0
2972505050251360366,fst_unja,0,0,0.0,0,0,0.0,4,0,3,0.04225352112676056,2,3,0,0,0.0,0
2972505050251360366,fst_unja,0,0,0.0,0,0,0.0,4,0,3,0.04225352112676056,2,3,0,0,0.0,0
2977721233875621262,fst_unja,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0
2982871168627407468,fst_unja,1,1,-1.4426951601859516e-10,0,0,0.36231884057971014,1,2,2,0.05405405405405406,1,0,0,0,0.0,0
2982871168627407468,fst_unja,1,1,-1.4426951601859516e-10,0,0,0.36231884057971014,1,2,2,0.05405405405405406,1,0,0,0,0.0,0
2982871168627407468,fst_unja,1,1,-1.4426951601859516e-10,0,0,0.36231884057971014,1,2,2,0.05405405405405406,1,0,0,0,0.0,0
2982871168627407468,fst_unja,1,1,-1.4426951601859516e-10,0,0,0.36231884057971014,1,2,2,0.05405405405405406,1,0,0,0,0.0,0
2984913545131111064,fst_unja,1,1,-1.4426951601859516e-10,0,1,1.8518518518518516,0,0,0,0.0,0,0,1,0,1.0,1
2984913545131111064,fst_unja,1,1,-1.4426951601859516e-10,0,1,1.8518518518518516,0,0,0,0.0,0,0,1,0,1.0,1
2984913545131111064,fst_unja,1,1,-1.4426951601859516e-10,0,1,1.8518518518518516,0,0,0,0.0,0,0,1,0,1.0,1
2984913545131111064,fst_unja,1,1,-1.4426951601859516e-10,0,1,1.8518518518518516,0,0,0,0.0,0,0,1,0,1.0,1
