name,features,mae,r2
Text Only,59,144.22256223831647,0.45472264649186633
Previous Best (Contrast+Aspect),61,144.43325632505707,0.4486044898337729
NIMA (8),67,136.58883779175147,0.4599395797008098
NIMA Top 3,62,138.1941524130666,0.4650722801649607
NIMA + Contrast + Aspect (10),69,138.7264578177748,0.46246975303445725
NIMA Top3 + Contrast + Aspect (5),64,137.1530936366251,0.46764341026903067
Sharpness + Contrast + Aspect (3),62,142.07552363620272,0.4509767509828999
