name,features,quality_features,mae,rmse,r2,quality_importance,quality_breakdown
Text-Only (Baseline),59,None,125.58837204593746,382.0007161815175,0.5134176414688948,0.0,{}
Sharpness Only,60,sharpness,129.6838053312112,387.17901861251,0.5001362600338262,0.01493620872563492,{'sharpness': 0.01493620872563492}
Contrast Only,60,contrast,129.31239371333035,385.4810537574454,0.5045109287671452,0.013681526078161903,{'contrast': 0.013681526078161903}
Aspect_Ratio Only,60,aspect_ratio,121.28048797061672,376.59513228947526,0.5270911850219366,0.009517755509099533,{'aspect_ratio': 0.009517755509099533}
Sharpness + Contrast,61,"sharpness, contrast",131.18283137228366,385.9118877372706,0.503402740330485,0.02623931245034731,"{'sharpness': 0.014292313679236748, 'contrast': 0.011946998771110563}"
Sharpness + Aspect_Ratio,61,"sharpness, aspect_ratio",131.0698917427968,385.6590131419795,0.5040533328205983,0.021666261866658397,"{'sharpness': 0.013883394739448272, 'aspect_ratio': 0.007782867127210124}"
Contrast + Aspect_Ratio,61,"contrast, aspect_ratio",120.70153853988391,376.77765512908286,0.5266326683298403,0.02314573039748877,"{'contrast': 0.013431401663472136, 'aspect_ratio': 0.009714328734016635}"
All Quality Features,62,"sharpness, contrast, aspect_ratio",125.44845999433441,380.8142756290338,0.5164354605980503,0.032168879353790585,"{'sharpness': 0.014528759049956921, 'contrast': 0.01024398872021686, 'aspect_ratio': 0.007396131583616801}"
