name,features,mae,rmse,r2,pct_error,baseline_contrib,bert_contrib,vit_contrib,enhanced_contrib
Text Only (Baseline),59,125.5883720459375,382.00071618151753,0.5134176414688947,34.673378558780655,0.08526713386020658,0.9147328661397937,0.0,0.0
Old ViT Embeddings,109,147.71031512085997,389.6840690363686,0.4936470928443356,40.780970322228434,0.05552742175875766,0.6349558888116922,0.3095166894295502,0.0
Enhanced Visual,74,133.17172485739616,378.43901424665165,0.522448943704106,36.767047411183015,0.06366224635157464,0.816063994761428,0.0,0.12027375888699733
Combined (ViT + Enhanced),124,154.61094474729632,396.59443610470987,0.47552929017302037,42.686147843311716,0.049570643824590546,0.5903936591116997,0.2723010302797466,0.08773466678396323
