name,vit_components,total_features,vit_variance,mae,rmse,r2,pct_error,baseline_contrib,bert_contrib,vit_contrib
ViT 50 PCA,50,109,0.7693190184574723,147.71031512085997,389.6840690363686,0.4936470928443356,40.780970322228434,0.05552742175875766,0.6349558888116922,0.3095166894295502
ViT 75 PCA,75,134,0.8466696471770548,159.27844443772963,409.777153364508,0.4400832144870922,43.97478612289853,0.051160626050239154,0.5812278010560855,0.36761157289367535
ViT 100 PCA,100,159,0.8982809214501396,165.51791423888847,414.0757290520595,0.42827451016598506,45.69742568655595,0.047559092857589434,0.5216096355171586,0.4308312716252521
ViT 150 PCA,150,209,0.9572737843116291,171.10864894077244,417.2924321307526,0.4193572308971575,47.24095760421812,0.04791270822664783,0.44735029141741944,0.5047370003559327
