name,features,mae,rmse,r2,visual_importance
Text Only (Baseline),59,144.22256223831647,450.6638581693759,0.45472264649186656,0.0
Current Best (Contrast + Aspect),61,144.43325632505704,453.1850897369749,0.44860448983377277,0.018305795047155772
Text + NIMA Features (8),67,136.58883779175144,448.5028168345202,0.4599395797008097,0.10255419607953377
Text + Composition (4),63,139.61330353524173,452.21080914094404,0.4509727781705748,0.08062875648378925
Text + Saliency (3),62,142.193070401092,450.1018439120609,0.4560818083375615,0.06988515049448665
Text + Color Appeal (3),62,141.5236463931126,449.47880615538475,0.45758656568099654,0.06081808655344421
Text + All Aesthetic (18),77,140.52511323640715,447.984142907268,0.46118797002572165,0.1591816326674362
Combined (Current + Aesthetic),79,140.6033036362969,450.3274505582995,0.45553641038217507,0.17539733717283454
