name,features,mae,rmse,r2,pct_error,rf_weight,hgb_weight
Baseline Only,9,146.14440648548552,393.86075315124435,0.48273461234831094,40.348642535680305,0.5233062884522399,0.47669371154776013
Text Only,59,118.227871733214,375.1583843387589,0.5306926903333822,32.64123649365592,0.46904772982504206,0.5309522701749578
Visual Only,59,190.71309238433776,449.1074089203341,0.3274440112077235,52.653499210413216,0.44911394427989015,0.5508860557201098
Multimodal,109,145.9718208208608,382.6676491367591,0.5117171153519653,40.30099379252149,0.45310487498710483,0.5468951250128953
