name,features,mae,r2
Champion (Text + NIMA),67,136.58883779175144,0.4599395797008098
"NIMA Polynomial (degree 2, 44 feats)",103,143.88920132498586,0.45314488892962224
"NIMA Interactions (only, 36 feats)",95,141.10731333346556,0.45503540150267885
+ Baseline Interactions (15 feats),82,136.11522674819105,0.463112155673017
+ Manual Interactions (7 feats),74,138.88657850450406,0.4566157539206027
+ Non-linear Transforms (5 feats),72,142.09316565145772,0.4502660207871977
+ Manual + Non-linear (12 feats),79,136.10113753915107,0.46480708158622475
