name,features,mae,r2
Text Only,59,144.22256223831647,0.45472264649186633
All NIMA (8),67,136.5888377917514,0.4599395797008098
Top 3 NIMA,62,138.1941524130666,0.4650722801649607
Positive NIMA (6),65,140.48172501209822,0.45871332997750536
Top 2 (Sharp+Contrast),61,139.6154967165174,0.4596250318285564
Sharpness + Saturation,61,142.08600360217997,0.4545404206626127
Sharpness Only,60,142.80773358989902,0.44966859215001087
Top 4 (add Noise),63,139.7585182749958,0.45676608507263583
Top 5 (add Brightness),64,138.03313001883225,0.4601416132804491
