name,features,mae,r2
Champion (Text + NIMA),67,136.58883779175142,0.4599395797008098
Text + Advanced Video (21),80,146.5227246741013,0.4655180410773101
NIMA + Advanced Video (29),88,139.93255795836734,0.4736837028122626
NIMA + Top Video (7),74,138.20247535180866,0.4761603328519589
NIMA + Temporal Video (5),72,139.00066346315202,0.46697441664112016
ULTIMATE: NIMA + Video + Interactions,86,135.97854859865396,0.47722052832503903
