name,features,mae,rmse,r2,video_importance
Text-Only (Videos),38,276.97613610542663,374.14058997460194,-0.29869220131329133,0.0
Text + All Video Features,43,293.4566050894148,387.16183752584806,-0.39066224424272566,0.09292510443948265
Text + Duration,39,283.2229728832337,373.14686354837824,-0.2918026473033051,0.010060683762371514
Text + Fps,39,298.949072479084,384.56540178916435,-0.37207230429892935,0.02658807280302146
Text + Frames,39,283.25184918403085,371.63360760109225,-0.2813463662269877,0.0034823186426982955
Text + Motion,39,290.9576738263353,379.03185865884484,-0.3328706639420471,0.030405233305541544
Text + Brightness,39,300.4352596126698,379.443829373092,-0.3357696397298706,0.03967023639488867
